,s,p,o
94,http://www.wikidata.org/entity/Q2654756,name,Gregorius de Wit
95,http://www.wikidata.org/entity/Q2673745,name,Johan Coenraad Altorf
96,http://www.wikidata.org/entity/Q2674165,name,Hank Hans
97,http://www.wikidata.org/entity/Q2681376,name,Frederik Hendrik Kaemmerer
98,http://www.wikidata.org/entity/Q2681913,name,Piet Worm
99,http://www.wikidata.org/entity/Q2685198,name,Peter Vos
100,http://www.wikidata.org/entity/Q2710856,name,Chris Lebeau
101,http://www.wikidata.org/entity/Q2717011,name,César Domela
102,http://www.wikidata.org/entity/Q249985,name,Jan van Munster
103,http://www.wikidata.org/entity/Q255347,name,Alexine Tinne
104,http://www.wikidata.org/entity/Q304915,name,Peter Danckerts de Rij
105,http://www.wikidata.org/entity/Q474308,name,Leendert Viervant the Younger
106,http://www.wikidata.org/entity/Q481253,name,Jean-Pierre Cluysenaar
107,http://www.wikidata.org/entity/Q509669,name,Sandy van Ginkel
108,http://www.wikidata.org/entity/Q525861,name,Hendrick de Keyser
109,http://www.wikidata.org/entity/Q577598,name,Pieter Post
110,http://www.wikidata.org/entity/Q632846,name,Nicolaes Eliaszoon Pickenoy
111,http://www.wikidata.org/entity/Q636727,name,Wybrand de Geest
112,http://www.wikidata.org/entity/Q655535,name,Daniël Mijtens
113,http://www.wikidata.org/entity/Q663613,name,Jacob Toorenvliet
114,http://www.wikidata.org/entity/Q716278,name,Henrik Ruse
115,http://www.wikidata.org/entity/Q719666,name,Karel Dujardin
116,http://www.wikidata.org/entity/Q721656,name,Egbert van Heemskerck
117,http://www.wikidata.org/entity/Q722999,name,Erhard Reuwich
118,http://www.wikidata.org/entity/Q883402,name,Leonard Ornstein
119,http://www.wikidata.org/entity/Q920277,name,Michel de Klerk
120,http://www.wikidata.org/entity/Q920786,name,Piet Kramer
121,http://www.wikidata.org/entity/Q944332,name,Hans Vredeman de Vries
122,http://www.wikidata.org/entity/Q984253,name,Isaac van Swanenburg
123,http://www.wikidata.org/entity/Q1046293,name,Cas Oorthuys
124,http://www.wikidata.org/entity/Q1877650,name,Leen Muller
125,http://www.wikidata.org/entity/Q1882016,name,Willem Wiegmans
126,http://www.wikidata.org/entity/Q1882933,name,Jakoba Mulder
127,http://www.wikidata.org/entity/Q1886534,name,Pieter den Besten
128,http://www.wikidata.org/entity/Q1890202,name,Jan Boon
129,http://www.wikidata.org/entity/Q1894090,name,Pieter Brattinga
130,http://www.wikidata.org/entity/Q2105882,name,Lambertus Zwiers
131,http://www.wikidata.org/entity/Q2128370,name,Dorus Hermsen
132,http://www.wikidata.org/entity/Q2128966,name,Lambertus Franciscus Edema van der Tuuk
133,http://www.wikidata.org/entity/Q2149829,name,Aldo van den Nieuwelaar
134,http://www.wikidata.org/entity/Q2155027,name,Pieter Willem van Baarsel
135,http://www.wikidata.org/entity/Q2181460,name,Jan Kriege
136,http://www.wikidata.org/entity/Q2205077,name,Wim Chabot
137,http://www.wikidata.org/entity/Q2210466,name,Theodoor Victor van Berckel
138,http://www.wikidata.org/entity/Q2230684,name,Sem Hartz
139,http://www.wikidata.org/entity/Q2406820,name,Tjipke Visser
140,http://www.wikidata.org/entity/Q2409489,name,Margriet Heymans
141,http://www.wikidata.org/entity/Q2416856,name,Frans Dingemans
142,http://www.wikidata.org/entity/Q2422409,name,Arno Nicolaï
143,http://www.wikidata.org/entity/Q2437951,name,Louis Christiaan Kalff
144,http://www.wikidata.org/entity/Q2439974,name,Gijsbert Friedhoff
145,http://www.wikidata.org/entity/Q2726659,name,Cornelis Pronk
146,http://www.wikidata.org/entity/Q2740854,name,Jan de Greef
147,http://www.wikidata.org/entity/Q2748838,name,Bert Nienhuis
148,http://www.wikidata.org/entity/Q2755972,name,Wim Brusse
149,http://www.wikidata.org/entity/Q2773015,name,Sijtje Aafjes
150,http://www.wikidata.org/entity/Q2778143,name,Johannes Lutma
151,http://www.wikidata.org/entity/Q2850859,name,Max Verboeket
152,http://www.wikidata.org/entity/Q110272,name,Johannes Franziskus Klomp
153,http://www.wikidata.org/entity/Q279341,name,Ad van der Steur
154,http://www.wikidata.org/entity/Q282708,name,Jan van Scorel
155,http://www.wikidata.org/entity/Q289441,name,George Hendrik Breitner
156,http://www.wikidata.org/entity/Q303350,name,Frans de Waal
157,http://www.wikidata.org/entity/Q540431,name,Pierre Cuypers
158,http://www.wikidata.org/entity/Q541736,name,Salomon de Bray
159,http://www.wikidata.org/entity/Q579591,name,Jan Willem Sluiter
160,http://www.wikidata.org/entity/Q604267,name,Carel Visser
161,http://www.wikidata.org/entity/Q605352,name,Bob Noorda
162,http://www.wikidata.org/entity/Q642072,name,Alphons Boosten
163,http://www.wikidata.org/entity/Q697681,name,Constant Nieuwenhuys
164,http://www.wikidata.org/entity/Q788800,name,Jan Bouman
165,http://www.wikidata.org/entity/Q822308,name,Bernard Bijvoet
166,http://www.wikidata.org/entity/Q822979,name,Jacob Otten Husly
167,http://www.wikidata.org/entity/Q828977,name,Paul Schuitema
168,http://www.wikidata.org/entity/Q932263,name,Thomas de Keyser
169,http://www.wikidata.org/entity/Q940647,name,Cornelis van Eesteren
170,http://www.wikidata.org/entity/Q942302,name,Johannes Hinderikus Egenberger
171,http://www.wikidata.org/entity/Q1122322,name,Pieter Engels
172,http://www.wikidata.org/entity/Q1133586,name,Cornelis Ketel
173,http://www.wikidata.org/entity/Q1133594,name,Cornelis Ryckwaert
174,http://www.wikidata.org/entity/Q1156476,name,Daan van Golden
175,http://www.wikidata.org/entity/Q1227949,name,Dirk Lievens
176,http://www.wikidata.org/entity/Q1865834,name,Charles Eyck
177,http://www.wikidata.org/entity/Q1874471,name,Cor van Kralingen
178,http://www.wikidata.org/entity/Q2275652,name,Sander Stols
179,http://www.wikidata.org/entity/Q2281325,name,Anthonie Blocklandt van Montfoort
180,http://www.wikidata.org/entity/Q2284063,name,Jan Bertus Heukelom
181,http://www.wikidata.org/entity/Q2289191,name,Ko Verzuu
182,http://www.wikidata.org/entity/Q2303926,name,Jan des Bouvrie
183,http://www.wikidata.org/entity/Q2312612,name,Floris Meydam
184,http://www.wikidata.org/entity/Q2313717,name,Han Rehm
185,http://www.wikidata.org/entity/Q2314272,name,Anthonie Begeer
186,http://www.wikidata.org/entity/Q2343542,name,Gerrit Jan Rutgers
187,http://www.wikidata.org/entity/Q2371736,name,Ralph Prins
188,http://www.wikidata.org/entity/Q2393381,name,Heinz Mauser
189,http://www.wikidata.org/entity/Q2443132,name,Benno Wissing
190,http://www.wikidata.org/entity/Q2460130,name,Willem Jacob Rozendaal
191,http://www.wikidata.org/entity/Q2464594,name,Willem Penaat
192,http://www.wikidata.org/entity/Q2475632,name,Tjomme de Vries
193,http://www.wikidata.org/entity/Q2480514,name,Cees Dekker
194,http://www.wikidata.org/entity/Q2497786,name,Henny Cahn
195,http://www.wikidata.org/entity/Q2530447,name,Elie Smalhout
196,http://www.wikidata.org/entity/Q2856062,name,Johannes Anthonius Moesman
197,http://www.wikidata.org/entity/Q2870056,name,Benno Premsela
198,http://www.wikidata.org/entity/Q3068336,name,Aart Stolk
199,http://www.wikidata.org/entity/Q3151402,name,Frits Eschauzier
200,http://www.wikidata.org/entity/Q3161764,name,Jan Pynas
201,http://www.wikidata.org/entity/Q3324470,name,Nicolaas Wijnberg
202,http://www.wikidata.org/entity/Q3385271,name,Pierre Gole
203,http://www.wikidata.org/entity/Q4757361,name,Jacob Jongert
204,http://www.wikidata.org/entity/Q4766256,name,Jacobus Roman
205,http://www.wikidata.org/entity/Q6500971,name,Louis Bogtman
206,http://www.wikidata.org/entity/Q432944,name,Louk Hulsman
207,http://www.wikidata.org/entity/Q437771,name,Willem Frederik Hermans
208,http://www.wikidata.org/entity/Q474411,name,Petrus Kiers
209,http://www.wikidata.org/entity/Q561650,name,J. Slauerhoff
210,http://www.wikidata.org/entity/Q613336,name,Bartholomeus van Bassen
211,http://www.wikidata.org/entity/Q618309,name,Lon Pennock
212,http://www.wikidata.org/entity/Q635572,name,Henk van Woerden
213,http://www.wikidata.org/entity/Q644714,name,Henri Berssenbrugge
214,http://www.wikidata.org/entity/Q658737,name,Jan P. Strijbos
215,http://www.wikidata.org/entity/Q689279,name,Lucebert
216,http://www.wikidata.org/entity/Q708333,name,Mart Stam
217,http://www.wikidata.org/entity/Q729098,name,Carel Willink
218,http://www.wikidata.org/entity/Q731829,name,Christiaan Snouck
219,http://www.wikidata.org/entity/Q733901,name,Israel Kiek
220,http://www.wikidata.org/entity/Q735503,name,Jan Schröder
221,http://www.wikidata.org/entity/Q747018,name,Rogier Verbeek
222,http://www.wikidata.org/entity/Q747954,name,Henk Peeters
223,http://www.wikidata.org/entity/Q816649,name,Ben d'Armagnac
224,http://www.wikidata.org/entity/Q822998,name,Jan van Borssum Buisman
225,http://www.wikidata.org/entity/Q827371,name,Bert Haanstra
226,http://www.wikidata.org/entity/Q846264,name,Isaac de Moucheron
227,http://www.wikidata.org/entity/Q936935,name,Johan van der Keuken
228,http://www.wikidata.org/entity/Q970752,name,Pieter de Neyn
229,http://www.wikidata.org/entity/Q979534,name,Isaac Israëls
230,http://www.wikidata.org/entity/Q981558,name,Pieter Pourbus
231,http://www.wikidata.org/entity/Q1040202,name,Carl Rhoen
232,http://www.wikidata.org/entity/Q1052632,name,Cees Douma
233,http://www.wikidata.org/entity/Q1298807,name,Egon Münzenberg
234,http://www.wikidata.org/entity/Q1308730,name,Thomas Hope
235,http://www.wikidata.org/entity/Q1393797,name,Per Abramsen
236,http://www.wikidata.org/entity/Q1394309,name,Robert van 't Hoff
237,http://www.wikidata.org/entity/Q1394697,name,Jan Wils
238,http://www.wikidata.org/entity/Q1397904,name,Hans Monderman
239,http://www.wikidata.org/entity/Q2144695,name,Jan Sanders
240,http://www.wikidata.org/entity/Q2322906,name,Henny Knoet
241,http://www.wikidata.org/entity/Q2519413,name,Léopold Wiener
242,http://www.wikidata.org/entity/Q2523286,name,Jan van Toorn
243,http://www.wikidata.org/entity/Q2535929,name,Hil Bottema
244,http://www.wikidata.org/entity/Q2553161,name,Abe Bonnema
245,http://www.wikidata.org/entity/Q2892687,name,Chris van der Hoef
246,http://www.wikidata.org/entity/Q2909660,name,Cephas Stauthamer
247,http://www.wikidata.org/entity/Q2915300,name,Anton Kurvers
248,http://www.wikidata.org/entity/Q2924183,name,Jan van der Vaart
249,http://www.wikidata.org/entity/Q3001739,name,Jaap Gidding
250,http://www.wikidata.org/entity/Q4025064,name,Henk Etienne
251,http://www.wikidata.org/entity/Q4475537,name,H.J. Winkelman
252,http://www.wikidata.org/entity/Q4488649,name,Petrus Josephus Lutgers
253,http://www.wikidata.org/entity/Q4582157,name,Isaac Isaacsz
254,http://www.wikidata.org/entity/Q5232473,name,David Colijns
255,http://www.wikidata.org/entity/Q5290141,name,Domenicus van Wijnen
256,http://www.wikidata.org/entity/Q5375498,name,Jaap Penraat
257,http://www.wikidata.org/entity/Q5416992,name,Nicolaas van de Vecht
258,http://www.wikidata.org/entity/Q5485690,name,Frank Carpay
259,http://www.wikidata.org/entity/Q5550218,name,Gerard van Zyl
260,http://www.wikidata.org/entity/Q5554790,name,Geert Lap
261,http://www.wikidata.org/entity/Q5646677,name,Han Schröder
262,http://www.wikidata.org/entity/Q15874769,name,Ed Annink
263,http://www.wikidata.org/entity/Q15874919,name,Emmy van Leersum
264,http://www.wikidata.org/entity/Q15879131,name,Maria van Kesteren
265,http://www.wikidata.org/entity/Q15452749,name,Hester van Eeghen
266,http://www.wikidata.org/entity/Q15880598,name,Pauline Wiertz
267,http://www.wikidata.org/entity/Q15962742,name,George Gillis Haanen
268,http://www.wikidata.org/entity/Q16015681,name,Jacob Zekveld
269,http://www.wikidata.org/entity/Q561892,name,Peter Klashorst
270,http://www.wikidata.org/entity/Q764057,name,Christianus Cornelius Uhlenbeck
271,http://www.wikidata.org/entity/Q777961,name,Herman Johannes van der Weele
272,http://www.wikidata.org/entity/Q827998,name,Ger van Elk
273,http://www.wikidata.org/entity/Q845989,name,Hubert Vos
274,http://www.wikidata.org/entity/Q893112,name,Hendrik Spilman
275,http://www.wikidata.org/entity/Q928156,name,Johannes François Snelleman
276,http://www.wikidata.org/entity/Q931707,name,Roelof Frankot
277,http://www.wikidata.org/entity/Q940918,name,Hubert van Es
278,http://www.wikidata.org/entity/Q983346,name,Quirinus Harder
279,http://www.wikidata.org/entity/Q1186393,name,Gerrit Aalfs
280,http://www.wikidata.org/entity/Q1241051,name,Erwin Olaf
281,http://www.wikidata.org/entity/Q1274641,name,E.G. van de Stadt
282,http://www.wikidata.org/entity/Q1348665,name,Tylman van Gameren
283,http://www.wikidata.org/entity/Q1444244,name,F. Starik
284,http://www.wikidata.org/entity/Q1661058,name,Jeroen de Rijke
285,http://www.wikidata.org/entity/Q1681702,name,Jan David Zocher
286,http://www.wikidata.org/entity/Q1681986,name,Jan Kuiler
287,http://www.wikidata.org/entity/Q1818756,name,Jaap van der Pol
288,http://www.wikidata.org/entity/Q1834713,name,Peter Marcuse
289,http://www.wikidata.org/entity/Q1846041,name,Evert Frans van der Grinten
290,http://www.wikidata.org/entity/Q1846544,name,J.C.J. Vanderheyden
291,http://www.wikidata.org/entity/Q1850423,name,Gait L. Berk
292,http://www.wikidata.org/entity/Q1857713,name,Stephen Storm
293,http://www.wikidata.org/entity/Q1866991,name,John Fernhout
294,http://www.wikidata.org/entity/Q1871355,name,Nico Jesse
295,http://www.wikidata.org/entity/Q1882390,name,Piet Marée
296,http://www.wikidata.org/entity/Q1886044,name,Paul Julien
297,http://www.wikidata.org/entity/Q1905558,name,Carel Blazer
298,http://www.wikidata.org/entity/Q1905756,name,Martinus Nijhoff
299,http://www.wikidata.org/entity/Q1906403,name,Herman Makkink
300,http://www.wikidata.org/entity/Q1914793,name,Jan Hendrik Hooyer
301,http://www.wikidata.org/entity/Q1974817,name,Sybold van Ravesteyn
302,http://www.wikidata.org/entity/Q1975871,name,Piet Esser
303,http://www.wikidata.org/entity/Q1991083,name,Pieter Alardus Haaxman
304,http://www.wikidata.org/entity/Q2005994,name,Julius Vischjager
305,http://www.wikidata.org/entity/Q2006963,name,Jan Rot
306,http://www.wikidata.org/entity/Q2014886,name,Piet Killaars
307,http://www.wikidata.org/entity/Q2024586,name,Peter Reijnders
308,http://www.wikidata.org/entity/Q2025435,name,Cor Jaring
309,http://www.wikidata.org/entity/Q2130921,name,Tonny van Renterghem
310,http://www.wikidata.org/entity/Q2138155,name,Johannes Leendert Scherpenisse
311,http://www.wikidata.org/entity/Q2146957,name,Simon E. Smit
312,http://www.wikidata.org/entity/Q2157475,name,Sem Presser
313,http://www.wikidata.org/entity/Q2165822,name,Carel Frederik Cordes
314,http://www.wikidata.org/entity/Q2169648,name,Guy van Grinsven
315,http://www.wikidata.org/entity/Q2216656,name,Sam Waagenaar
316,http://www.wikidata.org/entity/Q2219486,name,Ben Bos
317,http://www.wikidata.org/entity/Q2224005,name,Hans Borrebach
318,http://www.wikidata.org/entity/Q2228462,name,Joseph Jessurun de Mesquita
319,http://www.wikidata.org/entity/Q2228576,name,Ger van Norden
320,http://www.wikidata.org/entity/Q2233919,name,Jan Verheul
321,http://www.wikidata.org/entity/Q2241770,name,Jan Hollander
322,http://www.wikidata.org/entity/Q2265355,name,Willem van de Poll
323,http://www.wikidata.org/entity/Q2278134,name,Jan Vrijman
324,http://www.wikidata.org/entity/Q2278902,name,Peter Giele
325,http://www.wikidata.org/entity/Q4802575,name,Ary de Vois
326,http://www.wikidata.org/entity/Q4860438,name,Barend Graat
327,http://www.wikidata.org/entity/Q4866346,name,Eduard Veterman
328,http://www.wikidata.org/entity/Q5058614,name,Loekie Metz
329,http://www.wikidata.org/entity/Q6150382,name,Jan van Pee
330,http://www.wikidata.org/entity/Q7192766,name,Pieter Cornelisz van Rijck
331,http://www.wikidata.org/entity/Q13571686,name,Debora Duyvis
332,http://www.wikidata.org/entity/Q13741593,name,Karel Hoekendijk
333,http://www.wikidata.org/entity/Q15392327,name,Nel Linssen
334,http://www.wikidata.org/entity/Q15428862,name,Léonard Thiry
335,http://www.wikidata.org/entity/Q1255637,name,Gustaaf Adolf Frederik Molengraaff
336,http://www.wikidata.org/entity/Q1282569,name,Ed van der Elsken
337,http://www.wikidata.org/entity/Q1288873,name,Eduard J. Bouwman
338,http://www.wikidata.org/entity/Q1691983,name,Johan Hendrik Gallée
339,http://www.wikidata.org/entity/Q1697434,name,Jan Duiker
340,http://www.wikidata.org/entity/Q1712549,name,Julius Cornelius Schaarwächter
341,http://www.wikidata.org/entity/Q1726164,name,Nicolaas Henneman
342,http://www.wikidata.org/entity/Q1740407,name,Rutger van Langevelt
343,http://www.wikidata.org/entity/Q1778298,name,Koen van der Gaast
344,http://www.wikidata.org/entity/Q1880157,name,Rein Draijer
345,http://www.wikidata.org/entity/Q1881787,name,Jérôme Henri Kiebert
346,http://www.wikidata.org/entity/Q1892314,name,Christiaan Posthumus Meyjes Jr.
347,http://www.wikidata.org/entity/Q1921975,name,Joop Hekman
348,http://www.wikidata.org/entity/Q1930491,name,Pieter van Tienhoven
349,http://www.wikidata.org/entity/Q1941730,name,Henk Jonker
350,http://www.wikidata.org/entity/Q1971691,name,Geert Jannes Landweer
351,http://www.wikidata.org/entity/Q2030597,name,Jacqueline Hassink
352,http://www.wikidata.org/entity/Q2045955,name,Paul Hartland
353,http://www.wikidata.org/entity/Q2162369,name,Hermanus Gerardus Jacob Schelling
354,http://www.wikidata.org/entity/Q2163275,name,David Veilbrief
355,http://www.wikidata.org/entity/Q2166558,name,Cosman Citroen
356,http://www.wikidata.org/entity/Q2180250,name,Christiaan Maria Dewald
357,http://www.wikidata.org/entity/Q2191825,name,A. den Doolaard
358,http://www.wikidata.org/entity/Q2192550,name,Louis Krans
359,http://www.wikidata.org/entity/Q2193505,name,Albert Smallenbroek
360,http://www.wikidata.org/entity/Q2194858,name,Pim Korver
361,http://www.wikidata.org/entity/Q2280001,name,Adriaan Ferdinand van Goelst Meijer
362,http://www.wikidata.org/entity/Q2285645,name,Lydia Riezouw
363,http://www.wikidata.org/entity/Q2287453,name,Jacob Heimans
364,http://www.wikidata.org/entity/Q2294383,name,Arius van Tienhoven
365,http://www.wikidata.org/entity/Q2317182,name,Ben van Meerendonk
366,http://www.wikidata.org/entity/Q2328711,name,Loek Lafeber
367,http://www.wikidata.org/entity/Q2330289,name,Eddy de Jongh
368,http://www.wikidata.org/entity/Q2372246,name,Teun Hocks
369,http://www.wikidata.org/entity/Q2383619,name,Jacob Olie
370,http://www.wikidata.org/entity/Q2384341,name,Julius Stoop
371,http://www.wikidata.org/entity/Q2390601,name,Jan Grégoire
372,http://www.wikidata.org/entity/Q2395349,name,Gerard Bruning
373,http://www.wikidata.org/entity/Q2411611,name,Menno Huizinga
374,http://www.wikidata.org/entity/Q2425872,name,Bernard F. Eilers
375,http://www.wikidata.org/entity/Q2434389,name,Corstiaan van Drimmelen
376,http://www.wikidata.org/entity/Q2452030,name,Charles Breijer
377,http://www.wikidata.org/entity/Q2455247,name,Samuel Jessurun de Mesquita
378,http://www.wikidata.org/entity/Q2455743,name,Leen Timp
379,http://www.wikidata.org/entity/Q2479548,name,Bas Jan Ader
380,http://www.wikidata.org/entity/Q2528956,name,Rudolf Bonnet
381,http://www.wikidata.org/entity/Q2623741,name,Henri van Zanten
382,http://www.wikidata.org/entity/Q2639541,name,Albertus Paulus Hermanus Hotz
383,http://www.wikidata.org/entity/Q2932853,name,Jur Bosboom
384,http://www.wikidata.org/entity/Q2941727,name,Cornelis Gijsbert Gerrit Jan van Steenis
385,http://www.wikidata.org/entity/Q3019322,name,Oscar van Alphen
386,http://www.wikidata.org/entity/Q3039423,name,Hans Koetsier
387,http://www.wikidata.org/entity/Q7945637,name,Willem Hendrik Gispen
388,http://www.wikidata.org/entity/Q8003650,name,Willemina Ogterop
389,http://www.wikidata.org/entity/Q17402756,name,Bert van Loo
390,http://www.wikidata.org/entity/Q17492897,name,Wally Elenbaas
391,http://www.wikidata.org/entity/Q18093221,name,Rienk Keijert
392,http://www.wikidata.org/entity/Q1729180,name,Karel de Bazel
393,http://www.wikidata.org/entity/Q1892514,name,Willem Cornelis Mulder
394,http://www.wikidata.org/entity/Q1898593,name,Marinus Jan Granpré Molière
395,http://www.wikidata.org/entity/Q1899472,name,Pieter Marinus Arnoldus Huurman
396,http://www.wikidata.org/entity/Q1901009,name,Jacobus Pieter Stok
397,http://www.wikidata.org/entity/Q1902859,name,Adolf Daniël Nicolaas van Gendt
398,http://www.wikidata.org/entity/Q1913492,name,Lucas Hermanus Eberson
399,http://www.wikidata.org/entity/Q1915947,name,Joost Jansz. Bilhamer
400,http://www.wikidata.org/entity/Q1918512,name,Johannes Albertus Boer
401,http://www.wikidata.org/entity/Q1921195,name,J.P. Kloos
402,http://www.wikidata.org/entity/Q1921272,name,Gerrit Adriaans
403,http://www.wikidata.org/entity/Q1936019,name,Abraham Salm
404,http://www.wikidata.org/entity/Q1938677,name,Ytzen van der Veen
405,http://www.wikidata.org/entity/Q2049200,name,Siebe Jan Bouma
406,http://www.wikidata.org/entity/Q2180329,name,Édouard Niermans
407,http://www.wikidata.org/entity/Q2182157,name,Dirk Roosenburg
408,http://www.wikidata.org/entity/Q2182915,name,Willem Wissing
409,http://www.wikidata.org/entity/Q2183153,name,Maurits Post
410,http://www.wikidata.org/entity/Q2185179,name,Willem van der Helm
411,http://www.wikidata.org/entity/Q2186034,name,Samuel Adrianus van Lunteren
412,http://www.wikidata.org/entity/Q2186472,name,Jan Stuyt
